GEOID,sovi,rank,fema_region
g08035,-4.400656038017875,282.0,FEMA_8
g08037,-2.0447533454249607,227.0,FEMA_8
g08039,-3.3873719898187087,263.0,FEMA_8
g08041,1.1715668062830176,85.0,FEMA_8
g08043,4.0707233536736736,24.0,FEMA_8
g08045,-0.8535678894308552,170.0,FEMA_8
g08047,-2.7274376014514137,245.0,FEMA_8
g08049,-2.1712675972611666,232.0,FEMA_8
g08051,-4.159016414608912,279.0,FEMA_8
g08053,5.609585773442701,12.0,FEMA_8
g08055,8.643805492936984,3.0,FEMA_8
g08057,0.7407715595457222,104.0,FEMA_8
g08059,0.21001259328713218,124.0,FEMA_8
g08061,0.3589934359261766,118.0,FEMA_8
g08063,-0.6511709095076736,163.0,FEMA_8
g08065,0.13375818147812435,127.0,FEMA_8
g08067,-1.2966504342901242,189.0,FEMA_8
g08069,-1.5229696085843214,201.0,FEMA_8
g08071,4.0072059248660015,26.0,FEMA_8
g08073,5.560382259913073,13.0,FEMA_8
g08075,-1.5480474900708059,202.0,FEMA_8
g08077,0.17708796566537577,125.0,FEMA_8
g08079,6.73038987859424,5.0,FEMA_8
g08081,-0.4151028492236546,150.0,FEMA_8
g08083,1.807673897005594,65.0,FEMA_8
g08085,2.8560658341242293,46.0,FEMA_8
g08087,3.106380093214293,41.0,FEMA_8
g08089,6.00219746665393,9.0,FEMA_8
g08091,1.160221857412691,86.0,FEMA_8
g08093,-0.8831243910717128,172.0,FEMA_8
g08095,3.210574424225144,38.0,FEMA_8
g08097,-3.0068613359045404,256.0,FEMA_8
g08099,3.3573486588040184,35.0,FEMA_8
g08101,5.048359047313982,15.0,FEMA_8
g08103,-3.1708837058446666,260.0,FEMA_8
g08105,5.865195551752434,10.0,FEMA_8
g08107,-3.937825524050275,272.0,FEMA_8
g08109,4.568868677705087,20.0,FEMA_8
g08111,-4.589715781690613,286.0,FEMA_8
g08113,-4.221027052261204,280.0,FEMA_8
g08115,3.2697800530304004,36.0,FEMA_8
g08117,-2.8960795772388352,251.0,FEMA_8
g08119,0.9014046968924223,97.0,FEMA_8
g08121,-0.6372239208118604,161.0,FEMA_8
g08123,0.06698486874255205,130.0,FEMA_8
g08125,0.36741921527953036,117.0,FEMA_8
g09001,1.6955356732229043,17.0,FEMA_1
g09003,3.069271858322279,6.0,FEMA_1
g09005,-0.6824946787095981,40.0,FEMA_1
g09007,-0.784890538077681,43.0,FEMA_1
g09009,2.7574313895023552,8.0,FEMA_1
g09011,-0.7515159115137967,42.0,FEMA_1
g09013,-4.53183263586611,65.0,FEMA_1
g09015,0.2724217837959446,29.0,FEMA_1
g10001,-0.3675375928532934,155.0,FEMA_3
g10003,-1.3172826305401755,199.0,FEMA_3
g10005,4.267993941279011,21.0,FEMA_3
g11001,-0.7592889749133909,181.0,FEMA_3
g12001,-0.7737923237990503,461.0,FEMA_4
g12003,-0.8783917360576106,478.0,FEMA_4
