GEOID,sovi,rank
g08014,-6.617746097519171,3107.0
g08015,-2.0849050267310716,2517.0
g08017,0.07698189539208722,1538.0
g08019,-5.759062137182481,3069.0
g08021,3.458533825559608,265.0
g08023,5.685692417773401,94.0
g08025,-6.478663465867477,3102.0
g08027,-1.9930418381594295,2485.0
g08029,-0.03688015589111182,1596.0
g08031,-0.10301395139780278,1635.0
g08033,-2.290573988699979,2568.0
g08035,-9.48515428611339,3139.0
g08037,-4.670168168674756,2997.0
g08039,-7.203418209777677,3118.0
g08041,-3.0015121436464844,2754.0
g08043,-0.4332394748460661,1834.0
g08045,-3.794430001173481,2907.0
g08047,-5.141449349887843,3032.0
g08049,-5.381648062483191,3047.0
g08051,-5.753819315532716,3068.0
g08053,3.270286945422394,290.0
g08055,6.337643350052763,70.0
g08057,-1.17088050935999,2182.0
g08059,-3.967506881649308,2930.0
g08061,0.7540718943403726,1163.0
g08063,-1.7762084671656635,2418.0
g08065,-2.584237026838249,2651.0
g08067,-3.6867193289760634,2887.0
g08069,-3.7798326102405166,2902.0
g08071,1.9156563236947162,626.0
g08073,-0.07070282811449484,1619.0
g08075,-1.8331889848741603,2437.0
g08077,-1.7695420670745727,2416.0
g08079,1.719063769090855,708.0
g08081,-3.3285058261331297,2827.0
g08083,0.47283580936419534,1328.0
g08085,0.18157838890885636,1474.0
g08087,1.394753045065905,857.0
g08089,5.417637446731273,108.0
g08091,-2.2209164507463948,2554.0
g08093,-5.909226329631025,3078.0
g08095,3.3152969063277085,283.0
g08097,-6.493325281126333,3103.0
g08099,2.8556413869185397,355.0
g08101,3.352495020206681,277.0
g08103,-2.522766745246659,2629.0
g08105,3.843589764629945,217.0
g08107,-6.974183375582335,3113.0
g08109,1.381941691042662,860.0
g08111,-5.828376873589849,3074.0
g08113,-7.0928370913223,3116.0
g08115,4.254722849405708,166.0
g08117,-6.147925588032678,3091.0
g08119,-2.8933999777944868,2730.0
g08121,-1.6024707765664266,2358.0
g08123,-2.6363197283845032,2666.0
g08125,0.02884854717023788,1565.0
g09001,-4.068935814824611,2944.0
g09003,-0.1496819040709001,1665.0
g09005,-2.844254891102602,2720.0
g09007,-3.6645605615727157,2882.0
g09009,0.03653769904123649,1562.0
g09011,-1.4094593679855028,2285.0
g09013,-5.63712360820267,3061.0
g09015,-0.5010801856776355,1867.0
g10001,-0.6763455291586408,1951.0
g10003,-2.2997195912289268,2571.0
g10005,1.8249795065643535,660.0
g11001,0.18977157417093604,1470.0
g12001,-1.5751378488615773,2348.0
g12003,-2.8123985605756108,2710.0
g12005,-0.3798157414915837,1801.0
g12007,-1.6153042167562102,2364.0
g12009,0.4793458722019408,1322.0
g12011,0.8513088502519635,1112.0
g12013,2.2678571854631495,500.0
g12015,5.434099518588008,106.0
g12017,5.59264291348321,98.0
g12019,-3.220928515576948,2804.0
g12021,3.9801219153883736,196.0
g12023,-0.8245202453638557,2026.0
g12027,1.7053110658511308,719.0
g12029,0.48620856848643657,1316.0
g12031,-1.0337888689897479,2111.0
g12033,0.5686242338615937,1263.0
g12035,3.155579635805725,310.0
g12037,0.6608735512264616,1215.0
g12039,1.7246500123323745,706.0
g12041,-2.0297064164887346,2498.0
g12043,4.3524842620474775,155.0
g12045,-1.025981063819322,2108.0
g12047,-2.1452385677031636,2534.0
g12049,2.0552882186965142,570.0
g12051,2.598417550804758,418.0
